BT1	12.09	102.19	270.00	ML414H_IV01E_BATTERY	ML414H_IV01E
C1	21.27	79.44	0.00	1.0uF	0603
C10	27.18	66.99	180.00	4.7uF	0603
C11	30.35	68.58	180.00	0.1uF	0603
C12	51.18	86.36	270.00	1.0uF	0603
C13	7.56	82.17	270.00	1.0uF	0603
C14	31.56	98.87	270.00	47pF	0603
C15	28.38	98.11	180.00	47pF	0603
C16	4.32	25.08	180.00	T520D337M006ATE045	CAPMP7.6X4.3_3.1N_KEM
C17	47.75	32.13	0.00	0.1uF	0603
C18	9.14	23.56	270.00	10uF	0603
C19	10.60	23.56	270.00	0.1uF	0603
C2	21.27	77.91	0.00	0.1uF	0603
C20	12.07	23.56	270.00	68pF	0603@1
C21	7.75	7.43	0.00	10uF	EIA3216
C22	13.53	23.56	270.00	15pF	0603
C23	16.83	7.94	0.00	0.22uF	0603
C24	14.99	23.56	270.00	8.2pF	0603
C25	8.32	5.33	180.00	0.1uF	0603
C26	44.45	32.89	270.00	0.1uF	0603
C27	10.86	12.57	90.00	4.7uF	0603
C28	21.34	10.35	90.00	4.7uF	0603
C29	9.27	10.48	270.00	0.22uF	0603
C3	21.78	64.14	90.00	1.0uF	0603
C30	24.51	10.35	90.00	0.22uF	0603
C31	7.68	10.48	270.00	0.1uF	0603
C32	22.92	10.35	90.00	0.1uF	0603
C33	10.16	17.78	180.00	33pF	0402
C34	48.20	17.78	0.00	33pF	0402
C35	41.91	10.73	0.00	4.7uF	0603
C36	1.97	50.29	0.00	0.1uF	0603
C37	9.08	49.91	0.00	47pF	0603
C38	1.97	51.82	0.00	47pF	0603
C39	12.19	51.88	90.00	47pF	0603
C4	23.43	64.14	90.00	0.1uF	0603
C40	9.08	51.44	180.00	47pF	0603
C41	32.38	58.99	180.00	1.0uF	0603
C5	18.86	77.03	270.00	1.0uF	0603
C6	17.34	77.03	270.00	0.1uF	0603
C7	54.93	57.34	0.00	1.0uF	0603
C8	28.96	56.32	270.00	1nF	0603
C9	18.03	70.23	90.00	0.1uF	0603
D1	52.51	69.47	0.00	BLUE	LED-0603
D10	12.64	5.53	90.00	1A/15V/220mV	DO-214BA
D11	20.38	13.34	0.00	3.3V	SOD-323
D12	7.62	17.21	270.00	PESD0402-0402T	0402-TIGHT
D13	50.80	17.21	270.00	PESD0402-0402T	0402-TIGHT
D14	48.07	5.40	180.00	RED	LED-0603
D15	31.18	13.72	180.00	1A/15V/220mV	DO-214BA
D16	5.52	51.05	270.00	DT1042-04SO-7	SOT23-6L
D17	4.89	29.21	0.00	RED	LED-0603
D18	4.89	31.50	0.00	GREEN	LED-0603
D19	4.89	33.72	0.00	BLUE	LED-0603
D2	35.56	1.33	0.00	Yellow	LED-0603
D3	35.56	4.83	0.00	RED	LED-0603
D4	8.70	1.52	180.00	BLUE	LED-0603
D5	28.77	100.71	180.00	PESD0402-0402T	0402-TIGHT
D6	9.08	99.57	180.00	0.5A/40V/420mV	SOD-323
D7	40.32	101.60	180.00	BLUE	LED-0603
D8	40.32	106.62	0.00	GREEN	LED-0603
D9	40.32	104.08	0.00	RED	LED-0603
E1	29.21	104.14	0.00	SMA	SMA-EDGE
E2	3.81	17.78	90.00	SMA	SMA-EDGE
E3	54.61	17.78	270.00	SMA	SMA-EDGE
F1	16.57	4.83	90.00	6V/2A	1210
FB1	29.78	99.63	0.00	2.66Ω	0402-TIGHT
FD3	57.72	107.25	0.00	FIDUCIALUFIDUCIAL	FIDUCIAL-MICRO
FD4	0.76	0.76	0.00	FIDUCIALUFIDUCIAL	FIDUCIAL-MICRO
IC1	24.00	72.33	180.00	FE1.1S	FE1.1S_SSOP-28
IC2	47.31	37.27	0.00	SN74AVC4T774PW	SOP65P640X120-16N
IC3	47.31	28.51	0.00	SN74AVC4T774PW	SOP65P640X120-16N
J1	24.13	6.01	0.00		USB-C-16P_4LAYER-PADS
J3	10.72	68.45	270.00	MICRO-SD-PUSH-PUSH-EXT-PIN	MICROSD-EXTERNALPIN
J6	3.12	56.64	270.00	QWIIC_RIGHT_ANGLE	JST04_1MM_RA
J7	41.91	4.91	180.00		JST-2-SMD
J9	8.13	42.48	270.00	NANO_SIM	NANO_SIM_PP
L1	12.70	17.14	270.00	DNP	0402_COILCRAFT
L2	45.72	17.14	270.00	DNP	0402_COILCRAFT
Q1	32.00	56.83	270.00	MBT3904DW1T1	SC70-6
Q2	48.01	48.07	180.00	310mA/60V/1.6Ω	SOT323
Q3	45.09	48.07	180.00	310mA/60V/1.6Ω	SOT323
Q5	11.30	31.18	90.00	310mA/60V/1.6Ω	SOT323
Q6	11.30	33.85	90.00	310mA/60V/1.6Ω	SOT323
R1	20.13	64.14	270.00	100k	0603
R10	8.70	3.24	180.00	1k	0603
R11	11.87	77.03	180.00	100k	0603
R12	25.08	64.14	90.00	22k	0603
R13	26.73	64.14	270.00	33k	0603
R14	14.29	59.44	0.00	100k	0603
R15	28.64	64.14	270.00	2.2k	0603
R16	29.02	58.99	180.00	10k	0603
R17	31.88	54.67	0.00	10k	0603
R18	8.57	54.93	270.00	2.2k	0603
R19	8.57	58.80	90.00	2.2k	0603
R2	54.99	70.04	270.00	1k	0603
R20	28.32	84.33	90.00	27	0603
R21	29.91	84.33	90.00	27	0603
R22	24.96	84.33	90.00	27	0603
R23	26.54	84.33	90.00	27	0603
R24	33.46	100.14	180.00	10Ω	0402-TIGHT
R25	27.50	94.30	180.00	100	0603
R26	36.83	101.60	0.00	1k	0603
R27	36.83	106.62	0.00	1k	0603
R28	36.83	104.08	0.00	1k	0603
R29	12.89	99.63	180.00	1k	0603
R3	18.03	73.53	90.00	2.7k	0603
R30	26.86	13.65	270.00	22k	0603
R31	25.27	13.72	90.00	33k	0603
R32	47.75	33.72	180.00	100k	0603
R33	16.13	13.34	180.00	100k	0603
R34	46.67	24.89	180.00	100k	0603
R35	48.07	6.92	0.00	1k	0603
R36	11.43	54.67	0.00	200k	0603
R37	31.37	7.30	180.00	2.2k	0603
R38	46.67	51.12	270.00	100k	0603
R39	48.26	51.12	270.00	1k	0603
R4	21.40	66.67	0.00	47k	0603
R40	45.09	51.12	270.00	1k	0603
R41	8.26	28.45	180.00	220	0603
R44	13.46	29.85	90.00	1k	0603
R45	8.26	31.50	180.00	100	0603
R46	8.26	29.97	180.00	100k	0603
R47	13.46	33.34	270.00	1k	0603
R48	8.26	34.54	180.00	1k	0603
R49	8.26	33.02	180.00	100k	0603
R5	26.67	7.62	180.00	5.1k	0603
R50	13.72	51.88	90.00	1k	0603
R6	35.56	2.86	180.00	1k	0603
R7	21.84	7.62	0.00	5.1k	0603
R8	35.56	6.35	180.00	4.7k	0603
R9	27.37	56.32	270.00	100k	0603
S1	37.85	57.02	180.00	BOOT	TACTILE_SWITCH_SMD_5.2MM
S2	22.73	57.02	180.00	RESET	TACTILE_SWITCH_SMD_5.2MM
S3	47.37	42.80	0.00	PWR_ON	TACTILE_SWITCH_SMD_5.2MM
U1	50.08	63.31	180.00		NINA-W106
U10	31.18	9.84	90.00	MCP73831	SOT23-5
U11	45.72	54.23	270.00	74HC1G04	SOT353
U2	32.32	65.09	270.00	CP210X	QFN24
U3	16.07	88.46	0.00	U-BLOX_NEO-D9S-00B	NEO-M9N/M8T/M8U/D9S
U4	41.89	88.29	270.00	U-BLOX_ZED_F9R	UBLOX_ZED_F9R
U5	27.50	96.14	0.00	POWER-DIVIDER	PD0922J5050S2HF_ANA
U6	29.65	36.96	90.00	LARA-R6001	LARA-LGA
U7	13.46	10.73	270.00	AP7361C-33FGE	UDFN-8
U8	18.35	10.73	90.00	AP7361C-33FGE	UDFN-8
U9	11.56	56.64	180.00	PCA9306	VSSOP_8PIN
Y1	31.31	72.83	90.00	12MHz	CRYSTAL-SMD-5X3.2-4PAD
